"TOA5","31421","CR1000X","31421","CR1000X.8.5.1","CPU:VBUS_albedo_cart.cr1x","17210","Albedo_10s"
"TIMESTAMP","RECORD","LI200R_mV_Avg","LI200R_mV_Min","LI200R_mV_Max","LI200R_mV_Std","LI200R_Up_mV_Avg","LI200R_Up_mV_Min","LI200R_Up_mV_Max","LI200R_Up_mV_Std","SW_Down_Avg","SW_Down_Min","SW_Down_Max","SW_Down_Std","SW_Up_Avg","SW_Up_Min","SW_Up_Max","SW_Up_Std","Albedo_Avg","Albedo_Min","Albedo_Max","Albedo_Std","Latitude_A","Latitude_B","Longitude_A","Longitude_B","Speed","Course","Altitude","FixQual","NumSats","SecSinceGPRMC","GPSReady","Batt_Volt","PTemp"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","ratio","ratio","ratio","ratio","degrees","minutes","degrees","minutes","knots","degrees","meters","code","count","seconds","count","V","deg C"
"","","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-05-28 15:47:10",40,0.02650521,0.0248514,0.02806047,0.001023335,0.2572031,0.2559618,0.2584192,0.0007479848,0.4417574,0.4141937,0.4676788,0.01705574,4.047486,4.027952,4.066622,0.01177076,0.1091436,0.1027969,0.1153002,0.004202326,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.75
"2026-05-28 15:47:20",41,0.0265747,0.02489562,0.02743508,0.0007449809,0.2572404,0.2560881,0.2583117,0.0007187232,0.4429156,0.4149307,0.4572555,0.01241646,4.048072,4.02994,4.064932,0.01131026,0.1094168,0.1020757,0.1133835,0.003149618,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.75
"2026-05-28 15:47:30",42,0.02585834,0.02464293,0.02731506,0.000815149,0.2572385,0.2559681,0.2581981,0.0007320991,0.4309762,0.4107192,0.4552551,0.01358594,4.048042,4.028051,4.063143,0.01152072,0.1064655,0.1017663,0.1123474,0.003351187,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.75
"2026-05-28 15:47:40",43,0.02611418,0.02469347,0.02737191,0.0006817905,0.2571197,0.2559239,0.2583307,0.0008109675,0.4352403,0.4115615,0.4562026,0.01136328,4.046174,4.027355,4.06523,0.01276191,0.1075718,0.1012394,0.1124351,0.002911872,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.75
"2026-05-28 15:47:50",44,0.02653426,0.02573579,0.02747299,0.0004910711,0.2579763,0.2571052,0.2588108,0.0006098383,0.4422418,0.4289337,0.4578872,0.008184597,4.059653,4.045945,4.072785,0.009596709,0.1089354,0.1056445,0.112481,0.001974752,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.75
"2026-05-28 15:48:00",45,0.02636118,0.02535676,0.0277383,0.0006267995,0.2580553,0.2564356,0.2604153,0.001108114,0.4393569,0.4226165,0.4623092,0.01044675,4.060896,4.035408,4.098035,0.01743789,0.1081954,0.1031266,0.1133928,0.002658541,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.75
"2026-05-28 15:48:10",46,0.02603842,0.02489566,0.0272393,0.0008481314,0.2577487,0.2567582,0.2588681,0.0005716495,0.4339775,0.4149314,0.4539924,0.01413565,4.056071,4.040484,4.073687,0.008995854,0.1069952,0.1022441,0.1118381,0.003495668,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.75
"2026-05-28 15:48:20",47,0.02647935,0.02511044,0.02844586,0.0009773378,0.2575327,0.2560886,0.2585459,0.0008266865,0.4413265,0.4185111,0.474102,0.01628911,4.052671,4.029947,4.068617,0.01300929,0.1088997,0.1038503,0.1171937,0.004065651,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.75
"2026-05-28 15:48:30",48,0.02663033,0.02582427,0.02754252,0.0006112201,0.2570235,0.2559496,0.2581227,0.0006203934,0.4438428,0.4304084,0.4590461,0.01018709,4.044659,4.02776,4.061957,0.009762948,0.1097374,0.1062312,0.1137768,0.00258815,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.75
"2026-05-28 15:48:40",49,0.02621214,0.02453558,0.02752988,0.001017598,0.2572705,0.2565434,0.2586344,0.0006048585,0.4368729,0.4089301,0.4588355,0.01696011,4.048546,4.037104,4.070009,0.009518397,0.1079111,0.100474,0.1133142,0.004241288,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.75
"2026-05-28 15:48:50",50,0.02593292,0.02516098,0.02688554,0.0005897729,0.2569243,0.254743,0.258249,0.0009780386,0.4322193,0.4193534,0.4480964,0.009829635,4.043098,4.008773,4.063945,0.01539097,0.1069012,0.1035459,0.1105156,0.002314552,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.75
"2026-05-28 15:49:00",51,0.02653747,0.02548946,0.02839533,0.0008885905,0.2567335,0.2547683,0.2576868,0.0008742653,0.4422951,0.4248282,0.4732597,0.01480998,4.040096,4.009171,4.055097,0.01375788,0.1094757,0.104764,0.1170085,0.00362132,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.76
"2026-05-28 15:49:10",52,0.02632204,0.02534415,0.02689816,0.0005871685,0.2581263,0.2560189,0.2607567,0.001266782,0.4387046,0.4224064,0.4483067,0.009786231,4.062013,4.028851,4.103407,0.01993473,0.108009,0.1035374,0.1112741,0.002663314,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.76
"2026-05-28 15:49:20",53,0.02662084,0.0255084,0.02765621,0.0006244433,0.2578281,0.2560947,0.2592154,0.0008314243,0.4436846,0.4251438,0.460941,0.01040748,4.057321,4.030044,4.079152,0.01308375,0.1093532,0.1045651,0.1131494,0.002495161,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.76
"2026-05-28 15:49:30",54,0.02607062,0.02464296,0.02722665,0.0008060914,0.2574251,0.256758,0.2583815,0.0005257726,0.4345142,0.4107197,0.4537815,0.01343498,4.050979,4.040482,4.06603,0.008273729,0.1072598,0.1011113,0.1116031,0.003249739,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.76
"2026-05-28 15:49:40",55,0.02622033,0.02464928,0.02755513,0.0008613643,0.2572722,0.2563411,0.2580341,0.0005962004,0.4370095,0.410825,0.4592564,0.0143562,4.048573,4.033921,4.060562,0.009382054,0.1079407,0.1018426,0.1132708,0.003509894,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.76
"2026-05-28 15:49:50",56,0.02598028,0.02495881,0.0278394,0.0008675689,0.2569582,0.2552988,0.2579646,0.0006897054,0.4330086,0.4159839,0.4639942,0.01445961,4.043633,4.017518,4.059469,0.01085355,0.1070868,0.1025504,0.1148194,0.003643338,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.76
"2026-05-28 15:50:00",57,0.0262715,0.02507884,0.02788994,0.0007624535,0.2570694,0.2555135,0.2584699,0.0008233084,0.4378623,0.4179844,0.4648365,0.01270768,4.045382,4.020898,4.067421,0.01295609,0.1082386,0.1034746,0.1147287,0.003154837,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.76
"2026-05-28 15:50:10",58,0.02566572,0.02475669,0.02680975,0.0006882875,0.2570672,0.2555328,0.2586408,0.0009638664,0.4277658,0.4126152,0.4468331,0.01147156,4.045346,4.0212,4.070109,0.01516796,0.1057451,0.1013769,0.1101768,0.002893144,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.76
