"TOA5","31421","CR1000X","31421","CR1000X.8.5.1","CPU:VBUS_albedo_cart.cr1x","17210","Albedo_10s"
"TIMESTAMP","RECORD","LI200R_mV_Avg","LI200R_mV_Min","LI200R_mV_Max","LI200R_mV_Std","LI200R_Up_mV_Avg","LI200R_Up_mV_Min","LI200R_Up_mV_Max","LI200R_Up_mV_Std","SW_Down_Avg","SW_Down_Min","SW_Down_Max","SW_Down_Std","SW_Up_Avg","SW_Up_Min","SW_Up_Max","SW_Up_Std","Albedo_Avg","Albedo_Min","Albedo_Max","Albedo_Std","Latitude_A","Latitude_B","Longitude_A","Longitude_B","Speed","Course","Altitude","FixQual","NumSats","SecSinceGPRMC","GPSReady","Batt_Volt","PTemp"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","ratio","ratio","ratio","ratio","degrees","minutes","degrees","minutes","knots","degrees","meters","code","count","seconds","count","V","deg C"
"","","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Avg","Min","Max","Std","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-05-28 15:40:10",0,0.0259675,0.02512311,0.02669607,0.0005804714,0.256568,0.2556026,0.2577504,0.0007224968,0.4327955,0.4187223,0.4449385,0.009674606,4.037491,4.022299,4.056098,0.01136959,0.1071925,0.1038206,0.1099252,0.002300818,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.71
"2026-05-28 15:40:20",1,0.0261509,0.02520523,0.02686663,0.0005067325,0.2575078,0.2557352,0.2585147,0.0008629418,0.4358523,0.420091,0.4477812,0.008445623,4.05228,4.024386,4.068126,0.01357968,0.1075604,0.1038553,0.1102754,0.002211981,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.71
"2026-05-28 15:40:30",2,0.02640043,0.02483884,0.02795949,0.0008519604,0.2573953,0.256089,0.2588369,0.000815492,0.4400111,0.4139844,0.4659957,0.01419946,4.050511,4.029953,4.073196,0.01283303,0.1086283,0.1022426,0.1152096,0.003403611,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.71
"2026-05-28 15:40:40",3,0.02621787,0.02461774,0.02757415,0.0007929664,0.2572418,0.2564806,0.2578135,0.0004527488,0.4369683,0.4102995,0.4595733,0.01321622,4.048095,4.036117,4.057092,0.007124654,0.1079404,0.1015819,0.1133321,0.003132602,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.71
"2026-05-28 15:40:50",4,0.02640359,0.02577377,0.02711932,0.0003773806,0.257679,0.2560447,0.2635558,0.002013079,0.4400638,0.4295668,0.4519927,0.006289731,4.054975,4.029257,4.147455,0.03167892,0.1085288,0.1062319,0.1117448,0.001626157,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.71
"2026-05-28 15:41:00",5,0.02621787,0.02487675,0.02801635,0.0009008021,0.2575451,0.2569292,0.2587232,0.0006144418,0.4369684,0.4146162,0.4669433,0.0150135,4.052867,4.043175,4.071407,0.009669209,0.1078173,0.1025295,0.1153616,0.003705007,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.71
"2026-05-28 15:41:10",6,0.02616104,0.02537582,0.02689193,0.00038165,0.2579755,0.25722,0.2586603,0.0004599216,0.4360212,0.4229341,0.4482028,0.006360896,4.05964,4.047751,4.070416,0.007237526,0.1074056,0.1041104,0.1106365,0.001671264,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.71
"2026-05-28 15:41:20",7,0.02606691,0.02523053,0.02663924,0.0004785867,0.2576015,0.2567146,0.2580538,0.0003782898,0.4344524,0.4205126,0.4439914,0.007976518,4.053756,4.039799,4.060874,0.005952948,0.1071738,0.1036639,0.1095592,0.002012465,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.72
"2026-05-28 15:41:30",8,0.02627222,0.02510419,0.02771315,0.0007763126,0.2576192,0.2560829,0.2588245,0.000835295,0.4378742,0.4184069,0.46189,0.01293866,4.054034,4.029858,4.073001,0.01314464,0.1080051,0.1030161,0.1135775,0.003015656,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.72
"2026-05-28 15:41:40",9,0.02678453,0.02574853,0.02768156,0.0006936804,0.2574682,0.2561334,0.2583191,0.0007166037,0.446413,0.4291461,0.4613636,0.01156145,4.051658,4.030653,4.065048,0.01127679,0.1101754,0.1064706,0.1135591,0.002642395,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.72
"2026-05-28 15:41:50",10,0.02637076,0.02505996,0.02858491,0.0009920485,0.2574562,0.256323,0.2585845,0.000680261,0.4395167,0.4176698,0.4764195,0.01653429,4.051469,4.033635,4.069223,0.0107049,0.1084802,0.1029505,0.1173654,0.003982862,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.72
"2026-05-28 15:42:00",11,0.0266923,0.02588751,0.02734044,0.0004321213,0.2579824,0.2571189,0.2592731,0.0006557644,0.4448757,0.4314623,0.4556781,0.007202086,4.05975,4.046161,4.08006,0.01031947,0.1095866,0.105749,0.1125204,0.002011681,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.72
"2026-05-28 15:42:10",12,0.02645987,0.02559064,0.02723941,0.0004513816,0.2574339,0.2556348,0.2587175,0.0009171946,0.4410018,0.4265145,0.4539942,0.007523093,4.051117,4.022805,4.071317,0.01443348,0.1088605,0.1047608,0.1117642,0.001878515,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.72
"2026-05-28 15:42:20",13,0.02598356,0.0252053,0.02663296,0.0004183037,0.2571748,0.2562791,0.2584648,0.0008310702,0.4330633,0.420092,0.4438867,0.006971787,4.047041,4.032945,4.06734,0.01307809,0.1070073,0.1038732,0.1094927,0.001681607,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.72
"2026-05-28 15:42:30",14,0.02632658,0.02559696,0.02699304,0.0003894464,0.2579323,0.2564686,0.2591218,0.0006663352,0.4387803,0.4266198,0.449888,0.00649083,4.05896,4.035927,4.077679,0.01048584,0.1081045,0.1048327,0.1109189,0.001758727,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.72
"2026-05-28 15:42:40",15,0.02662285,0.02590649,0.02755526,0.000568928,0.2581035,0.2570372,0.2593429,0.0008107697,0.4437183,0.4317788,0.4592585,0.009482223,4.061654,4.044874,4.081159,0.0127587,0.1092466,0.106251,0.1135409,0.002354766,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.72
"2026-05-28 15:42:50",16,0.02613833,0.02472519,0.02707516,0.0007097811,0.2575337,0.2554073,0.2587238,0.0008869389,0.4356428,0.4120903,0.4512567,0.01182979,4.052688,4.019227,4.071416,0.01395733,0.1075022,0.1016224,0.11159,0.003161978,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.72
"2026-05-28 15:43:00",17,0.02657674,0.02578015,0.02754894,0.0005799471,0.2578028,0.2566708,0.2592229,0.0007966977,0.4429496,0.4296731,0.4591532,0.009665873,4.056922,4.039109,4.07927,0.01253731,0.1091814,0.1061822,0.1132504,0.002253874,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.72
"2026-05-28 15:43:10",18,0.02621224,0.02503473,0.0274605,0.0007540802,0.257665,0.2567402,0.2583637,0.0004742224,0.4368745,0.4172492,0.4576791,0.01256811,4.054754,4.040201,4.065749,0.007462639,0.1077437,0.1027309,0.1129977,0.003093738,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,24.72
