"TOA5","31421","CR1000X","31421","CR1000X.8.5.1","CPU:VBUS_albedo_cart.cr1x","41803","Albedo_1Hz"
"TIMESTAMP","RECORD","LI200R_mV","LI200R_Up_mV","SW_Down","SW_Up","Albedo","Latitude_A","Latitude_B","Longitude_A","Longitude_B","Speed","Course","Altitude","FixQual","NumSats","SecSinceGPRMC","GPSReady","Batt_Volt","PTemp"
"TS","RN","mV","mV","W/m^2","W/m^2","ratio","degrees","minutes","degrees","minutes","knots","degrees","meters","code","count","seconds","count","V","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-05-29 14:35:19",16,0.2109388,0.5277511,3.515677,8.304975,0.4233219,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
"2026-05-29 14:35:20",17,0.2115705,0.5242389,3.526206,8.249703,0.4274343,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
"2026-05-29 14:35:21",18,0.2120695,0.5255023,3.534524,8.269586,0.4274125,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
"2026-05-29 14:35:22",19,0.2110777,0.5275933,3.517994,8.30249,0.4237276,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
"2026-05-29 14:35:23",20,0.2112862,0.5264625,3.521468,8.284696,0.425057,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
"2026-05-29 14:35:24",21,0.211501,0.5284902,3.525048,8.316606,0.4238566,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
"2026-05-29 14:35:41",22,0.2138081,0.5264723,3.563501,8.28485,0.4301225,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
"2026-05-29 14:35:42",23,0.2132269,0.5278369,3.553814,8.306323,0.4278445,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
"2026-05-29 14:35:43",24,0.2140987,0.5274894,3.568344,8.300855,0.4298767,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
"2026-05-29 14:35:44",25,0.2139597,0.5287781,3.566028,8.321135,0.4285507,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
"2026-05-29 14:35:45",26,0.2143514,0.5281717,3.572555,8.311592,0.429828,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
"2026-05-29 14:35:46",27,0.2156843,0.5269777,3.594771,8.292804,0.4334807,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
"2026-05-29 14:35:47",28,0.214882,0.5272557,3.581399,8.297177,0.4316407,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,"NAN",0,0,25.17
